Country Name,Country Code,Year,Agriculture (% GDP),Ease of Doing Business,Education Expenditure (% GDP),Export (% GDP),GDP,Health Expenditure (% GDP),Import (% GDP),Industry (% GDP),Inflation Rate,R&D,Service (% GDP),Unemployment,Population,Land,Continent Name,Export,Import,Education Expenditure,Health Expenditure,Net Trade,GDP Per Capita,Population Density
China,CHN,2022,7.29999788465975,68.171342,11.994663596153200,20.6770025053561,17963170521079.8,4.553863558571430,17.4668169277955,39.9241138211705,1.9735755573906,298304706650.76900,52.7758882941698,4.886,1412175000.0,9600003.733333330,Asia,3714245218685.0600,3137594109344.7400,2154621875206.8900,818018276323.4980,576651109340.3210,12720.21563976120,147.10150529385900
Colombia,COL,2022,8.28940973721885,69.27252200000000,14.715101423717700,20.4823651047657,343939445259.487,6.86669006809524,28.1440336661319,26.7339865580009,10.1772313546165,762906825.2602260,54.8047895894929,10.726,51874024.0,1141695.811904760,South America,70446932917.3539,96798433264.93730,50611038206.10540,23617255727.895100,-26351500347.58340,6630.282726080530,45.435941394455500
Comoros,COM,2022,36.4121960127207,46.875728,19.03499412536620,12.7160796545449,1242519407.27821,5.578752290952380,35.0656469520052,9.08023962251132,3.191998996635490,,50.2466277145822,8.811,836774.0,1861.0,Africa,157999757.55267600,435697468.6663250,236513496.1819420,69317079.89906110,-277697711.1136490,1484.8924647254900,449.63675443310000
Dem. Rep. Congo,COD,2022,17.4404983959522,34.95169800000000,18.4080238342285,48.022722787543,58065953573.3247,3.763110104285710,50.907136682131,48.6481911061421,60.67470842980500,90368871.98578980,31.4823919858969,4.987,99010212.0,2344860.0,Africa,27884851918.461100,29559714351.355100,10688794573.349700,2185085766.067630,-1674862432.8939900,586.4642888889550,42.22435966326350
Congo,COG,2022,8.53124746341281,38.598066,16.6348667144775,71.4225180934078,14615532210.0523,2.146302774285710,40.2079178814863,36.246871085429,3.04344334698467,,48.4861976750053,21.795,5970424.0,342000.0,Africa,10438781137.17250,5876601188.960010,2431274302.753730,313693573.30097500,4562179948.2124400,2447.988988730500,17.457380116959100
Costa Rica,CRI,2022,4.02189404042956,68.54486600000000,22.406878566741900,41.1615469285637,68380838316.2777,7.287283897619050,38.8584306068963,20.8286764788321,8.27477490232662,303363471.8101280,67.0152064441303,11.453,5180829.0,51100.0,North America,28146610853.69990,26571720605.544700,15322011404.448500,4983105819.67902,1574890248.1551900,13198.821716809700,101.38608610567500
Côte d'Ivoire,CIV,2022,16.715367493421,54.661344,13.6093196868896,24.8438275051304,70018715016.6967,4.431473310952380,27.491844114286,21.9810070765666,5.2761672426284,49293175.10465430,53.6962585390297,2.637,28160542.0,322460.0,Africa,17395328780.05700,19249435983.21640,9529070767.27443,3102860668.636720,-1854107203.1594600,2486.4121939377700,87.33034174781370
Croatia,HRV,2022,2.47857703677429,72.53823600000000,8.960669208975400,60.6475031052014,70964606464.6427,7.078808791904760,65.2693034132156,19.5147230687341,10.7805806758686,626991225.4404390,61.306940022897,6.746,3854000.0,68576.42857142860,Europe,43038261909.23810,46318104309.40210,6358903640.747810,5023448801.559740,-3279842400.16391,18413.234682055700,56.20006874498740
Cuba,CUB,2022,4.139642395931900,,15.123698552449500,18.26406715128970,65483366974.77950,10.056155522857100,17.319874366017800,23.143677012163400,,321882556.3667290,71.61677831646710,1.386,11212191.0,109884.76190476200,North America,11959926117.199200,11341636890.67020,9903507023.259960,6585109224.587110,618289226.529026,5840.37205348888,102.03590384732100
Curacao,CUW,2022,0.4007886993899460,,12.4153747558594,65.97525634464430,2938579842.5596700,,87.0282900017744,16.065883856993600,2.181541142346940,,75.13807118805420,,149996.0,444.0,North America,1938735584.020790,2557395787.3165200,364835699.9539270,,-618660203.2957310,19591.054711856800,337.8288288288290
Cyprus,CYP,2022,1.65060874459387,72.53591800000000,15.35292407444550,91.5212690325256,28439052740.8561,6.261494771904760,91.8963653060015,13.4691554594467,8.3954829799334,127450698.42362900,72.4425136263997,6.976,1251488.0,9250.190476190480,Europe,26027781969.260800,26134455796.30360,4366226174.795140,1780709800.5479400,-106673827.04279300,22724.19131534310,135.29321403935100
Cyprus,CYP,2022,1.65060874459387,72.53591800000000,15.35292407444550,91.5212690325256,28439052740.8561,6.261494771904760,91.8963653060015,13.4691554594467,8.3954829799334,127450698.42362900,72.4425136263997,6.976,1251488.0,9250.190476190480,Asia,26027781969.260800,26134455796.30360,4366226174.795140,1780709800.5479400,-106673827.04279300,22724.19131534310,135.29321403935100
Czechia,CZE,2022,2.11184498950052,76.316346,9.930312837873190,74.8392849495541,290923534700.518,6.89463302,74.9429773008525,30.6855041595408,15.1001651468371,4355956518.884850,57.8971379527692,2.37,10526073.0,78870.05,Europe,217725093119.8360,218026758573.44700,28889617114.76,20058110086.41310,-301665453.61135900,27638.37327562880,133.46096522063800
Denmark,DNK,2022,0.783992186188794,84.828798,14.60862781887960,69.3139816042177,395403906582.001,9.790867415,58.686074322681,20.8732198216723,7.69656699889259,10853808905.702100,66.3079355697967,4.172,5903037.0,42920.0,Europe,274070191070.6060,232047030491.49700,57763085093.87500,38713472247.17420,42023160579.10900,66983.13200171390,137.5358108108110
